p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
1.4651009173521345e-249,3.8682051633283394,1,0.003,3.419692051191617e-245,Chst8
2.6000941831083844e-249,4.400729911662418,1,0.003,6.0688798327932796e-245,Tro
2.6000941831083844e-249,3.8499708139759625,1,0.003,6.0688798327932796e-245,Sat2
3.000888732443752e-249,4.894910280581466,1,0.003,7.004374390396962e-245,Slit2
3.000888732443752e-249,3.7069944251533196,1,0.003,7.004374390396962e-245,Prkd1
3.9971277913714886e-249,4.115300640310097,1,0.003,9.329695977840191e-245,Clec4b1
4.61302024311754e-249,4.128488734537763,1,0.003,1.076725054946065e-244,Zmynd15
8.181941736207087e-249,3.6034019467941394,1,0.003,1.9097470206480962e-244,Rem1
1.2572668022380293e-248,3.628289879349846,1,0.003,2.9345864431037845e-244,Emr4
1.6740522754176313e-248,3.7129471096808473,1,0.003,3.9074054160522935e-244,Acot6
4.95870755341438e-245,3.5273979402503595,0.75,0.001,1.1574119300424503e-240,AU022793
4.0101645597459434e-233,4.800266458967685,1,0.003,9.360125098903006e-229,Rasd2
4.0101645597459434e-233,3.749327681064592,1,0.003,9.360125098903006e-229,Arsj
5.241674490799788e-233,3.9816953742616943,1,0.003,1.2234592428975786e-228,Il17d
1.2466508820767934e-218,3.1110579662829116,1,0.003,2.9098078238554436e-214,Adcyap1r1
6.368692669728936e-218,2.979011820290501,1,0.003,1.486516556041431e-213,1600021P15Rik
6.494650042160567e-218,3.1292288196073277,0.75,0.002,1.515916266340698e-213,Trdn
7.668132829376303e-218,1.3508100392360174,0.5,0.001,1.7898188837047228e-213,B430319G15Rik
1.735221580798532e-217,2.6546487805140644,1,0.003,4.050180691741854e-213,Fgf18
2.8631414265512548e-217,3.9647820769983375,1,0.003,6.682858403713283e-213,Tctex1d4
7.658231710252277e-206,4.680360011316238,1,0.003,1.787507863489984e-201,Ankrd1
1.2285068419146872e-205,2.5074656512602203,1,0.003,2.8674578197130717e-201,Ppara
1.3825273190049451e-205,3.942237689583878,1,0.003,3.2269570152894425e-201,Dpep2
1.3825273190049451e-205,3.5505158842357383,1,0.003,3.2269570152894425e-201,D630003M21Rik
1.5558345562533378e-205,1.92646968542058,1,0.003,3.631473437750916e-201,Dnahc2
4.500702954113307e-205,4.443088627757129,1,0.003,1.0505090765195871e-200,B230378P21Rik
2.388813900584883e-196,2.7209628265345023,0.75,0.002,5.575730525355176e-192,Kirrel
9.232742649188038e-196,0.9083018124926293,0.75,0.002,2.15501446174698e-191,A230028O05Rik
9.14810946070656e-195,5.117469445767393,1,0.004,2.135260229223518e-190,5031426D15Rik
9.14810946070656e-195,3.9547783633701803,1,0.004,2.135260229223518e-190,Fgf7
1.4300001607507803e-194,4.503663253657015,1,0.004,3.337763375208396e-190,Pilrb2
1.4300001607507803e-194,3.0342981958797552,1,0.004,3.337763375208396e-190,Vit
3.4918297559936724e-194,4.678271996236216,1,0.004,8.150279833464831e-190,Slamf8
4.879174865624536e-194,2.813486464145423,1,0.004,1.138848205385423e-189,Tnfsf13
6.097869554056393e-194,4.892257543562676,1,0.004,1.4233037326123026e-189,Fcgr4
8.518831884107231e-194,3.085692020279128,1,0.004,1.9883805500694687e-189,Clec4d
8.498318815916151e-184,3.669358010770432,1,0.004,1.9835925948229887e-179,Neurl1a
1.0496656659286253e-183,3.314004739314785,1,0.004,2.4500246308440042e-179,Pex11a
