p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
3.367897319116803e-30,0.34492051717378036,0.698,0.532,7.86100913255053e-26,1,Ywhah,Marrow
3.56295643520252e-30,0.2961436204551724,0.533,0.328,8.316296615406203e-26,1,Stag2,Marrow
3.635152540659252e-30,0.2672981106652612,0.541,0.337,8.48480954515276e-26,1,Git2,Marrow
4.4065365012918395e-30,0.293699930962247,0.368,0.187,1.0285296847665282e-25,1,Kdm1a,Marrow
4.592263851354027e-30,0.5409486344569316,0.325,0.158,1.0718803055445434e-25,1,Cisd1,Marrow
5.157270402996535e-30,0.4238428703996382,0.303,0.14,1.203758484763421e-25,1,Ppp2r2d,Marrow
5.865941552149715e-30,0.5932575559197604,0.416,0.224,1.369169417687265e-25,1,Aff1,Marrow
5.979764150428674e-30,0.296168369476395,0.318,0.151,1.3957367503515567e-25,1,Mospd3,Marrow
6.1690551098894064e-30,0.40814785364879036,0.454,0.265,1.4399191531992864e-25,1,Tpi1,Marrow
6.582598981518127e-30,0.30210499029835436,0.535,0.332,1.536444428276146e-25,1,Srsf9,Marrow
7.075386345451034e-30,0.5804169465127105,0.309,0.149,1.6514659268917258e-25,1,Rpa2,Marrow
9.111913314173901e-30,0.6703786253190898,0.251,0.098,2.1268116866613302e-25,1,Cnot6,Marrow
9.894568349345191e-30,0.5088461548017817,0.337,0.161,2.3094911984206612e-25,1,Capn7,Marrow
1.0054048105380057e-29,0.33590356125475607,0.319,0.151,2.346715368276759e-25,1,Prps2,Marrow
1.0510833873802543e-29,0.33238780808089485,0.321,0.156,2.4533337344842514e-25,1,Slmo2,Marrow
1.1877804963617043e-29,0.3822896289607134,0.45,0.255,2.772398456557854e-25,1,Osbpl8,Marrow
1.4303807157496496e-29,0.46187065573759023,0.311,0.15,3.338651628631257e-25,1,Car2,Marrow
1.463064871456062e-29,0.35443053052037055,0.379,0.205,3.4149397164655943e-25,1,Exosc3,Marrow
1.5167113830785816e-29,0.5189357614467545,0.418,0.228,3.5401560392437174e-25,1,Rpia,Marrow
1.5877057942193968e-29,0.2812151383755337,0.394,0.211,3.705864094287494e-25,1,Tcerg1,Marrow
1.6254621550341207e-29,0.27152251152217666,0.426,0.242,3.7939912160651413e-25,1,Mrpl20,Marrow
1.868993468019134e-29,0.354603958422004,0.641,0.454,4.36241765370346e-25,1,Hnrnph1,Marrow
2.2736617988629525e-29,0.30378382031873397,0.522,0.328,5.306954004726018e-25,1,U2af1,Marrow
2.2893278338128555e-29,0.41722959052018016,0.434,0.254,5.343520096902586e-25,1,Immt,Marrow
2.3351626170187066e-29,0.35723950562637574,0.398,0.214,5.450503064383363e-25,1,Pim1,Marrow
2.3832055851303932e-29,0.4602042586392012,0.277,0.119,5.562640156252851e-25,1,Dcp2,Marrow
2.4879289537516127e-29,0.639570205528508,0.337,0.19,5.807074970951639e-25,1,Nedd4,Marrow
2.4902897608347085e-29,0.44954889615074656,0.48,0.284,5.812585330764293e-25,1,Ddx39,Marrow
2.647942796204965e-29,0.2963015329036507,0.365,0.188,6.180563280622009e-25,1,BC002163,Marrow
2.7626864125782567e-29,0.4129485244601687,0.634,0.449,6.448386355598909e-25,1,Nono,Marrow
2.865012894840523e-29,0.49689338358522583,0.281,0.126,6.687226597847265e-25,1,Ak3,Marrow
2.967525480121868e-29,0.33553576911513927,0.277,0.122,6.9265012231524515e-25,1,Rev3l,Marrow
3.15223840403907e-29,0.381136161807234,0.882,0.774,7.357639658867593e-25,1,Arglu1,Marrow
3.2894129293257653e-29,0.27329590568834483,0.309,0.148,7.677818718339269e-25,1,l7Rn6,Marrow
3.404959182334179e-29,0.8931408613847176,0.316,0.151,7.947515227486207e-25,1,Rap2b,Marrow
3.4700803933923346e-29,0.25310741292559324,0.334,0.173,8.099514646217048e-25,1,Pfdn1,Marrow
3.838257318493491e-29,0.5061769552332578,0.628,0.448,8.958876407095659e-25,1,Adam10,Marrow
3.8418414199444426e-29,0.4602897518179212,0.429,0.24,8.967242058292324e-25,1,Commd1,Marrow
4.1957914623863735e-29,0.3954384666976809,0.475,0.28,9.793396852356035e-25,1,Setd2,Marrow
4.5479376843718146e-29,0.4340451753382828,0.508,0.315,1.0615341349092253e-24,1,Lsm6,Marrow
4.589367953126034e-29,0.2820030552137691,0.325,0.157,1.0712043739391476e-24,1,Rbm10,Marrow
4.592611540774796e-29,0.5223506817838874,0.278,0.121,1.071961459732245e-24,1,Taf15,Marrow
4.9699507770189337e-29,0.28450842248882413,0.58,0.378,1.1600362108639892e-24,1,Ndufa11,Marrow
5.449436466631453e-29,0.37044657980257467,0.401,0.219,1.2719529656764473e-24,1,Usp34,Marrow
5.837288689007782e-29,0.3837102734504363,0.431,0.244,1.3624815529013062e-24,1,Mrpl33,Marrow
7.349077262452017e-29,0.28616836777080223,0.569,0.37,1.7153481238289253e-24,1,Ttpal,Marrow
7.37959312450976e-29,0.4688896665119504,0.354,0.184,1.722470831191823e-24,1,Med30,Marrow
7.631585644702833e-29,0.5286213446096872,0.338,0.165,1.781288405330088e-24,1,Golgb1,Marrow
7.790321090449685e-29,0.29917857528984104,0.544,0.346,1.818338845721861e-24,1,1500032L24Rik,Marrow
8.975988395129896e-29,0.5577096376518362,0.303,0.139,2.095085451307269e-24,1,Pwwp2a,Marrow
1.0807938526932276e-28,0.39891028419680286,0.815,0.671,2.5226809315712626e-24,1,Zfp706,Marrow
1.1949182067225794e-28,0.4067206073256635,0.654,0.462,2.7890585863111727e-24,1,Raly,Marrow
1.216514491879516e-28,0.43670853111586716,0.505,0.308,2.8394664754959782e-24,1,Pa2g4,Marrow
1.4311220318147603e-28,0.3524791794227955,0.365,0.19,3.340381934458832e-24,1,Cuedc2,Marrow
1.6231198958914366e-28,0.7530756023076859,0.53,0.362,3.788524149000202e-24,1,Ube2s,Marrow
1.6675396935061046e-28,0.49830403516063493,0.268,0.114,3.892204398612599e-24,1,Rbmx,Marrow
1.7705488816022367e-28,0.560245537193516,0.274,0.121,4.132638144547781e-24,1,Smarcd1,Marrow
2.1770315621625003e-28,0.3129236130597386,0.388,0.209,5.081409369243492e-24,1,Fip1l1,Marrow
2.291942787182744e-28,0.29626642113364365,0.404,0.226,5.349623659563243e-24,1,Etfa,Marrow
2.403095927076793e-28,0.3912790893040601,0.637,0.438,5.609066203389943e-24,1,Minos1,Marrow
2.8433070165068883e-28,0.4214576602510993,0.789,0.62,6.636562907228728e-24,1,Ywhae,Marrow
2.8918638655090803e-28,0.3114513658738738,0.392,0.21,6.7498994484847445e-24,1,Cnot1,Marrow
3.2283886770351504e-28,0.3569905861609133,0.518,0.393,7.535382011067745e-24,1,Selplg,Marrow
3.3005595869570783e-28,0.8851951625778369,0.887,0.86,7.703836131916517e-24,1,Tubb5,Marrow
3.307837382134074e-28,0.28965299188071025,0.368,0.196,7.720823233639143e-24,1,Mrpl28,Marrow
3.468269923960905e-28,0.33102699013225445,0.265,0.116,8.095288829517148e-24,1,Kpna3,Marrow
3.8014198242352793e-28,0.4594963664137932,0.697,0.506,8.872894011747565e-24,1,Banf1,Marrow
4.0265163375134025e-28,0.2818106216219438,0.48,0.287,9.398291783390032e-24,1,Ktn1,Marrow
4.49586626845289e-28,0.2897860824949281,0.337,0.174,1.0493801457195891e-23,1,Mrpl14,Marrow
4.549456347377458e-28,0.2500634877234238,0.528,0.331,1.0618886060413725e-23,1,Cap1,Marrow
4.84284883432641e-28,0.33282521214590055,0.317,0.156,1.1303693464201274e-23,1,Trappc1,Marrow
4.945914239310186e-28,0.3874322265827095,0.498,0.305,1.1544258425973904e-23,1,Exosc8,Marrow
5.12051396378268e-28,0.25369656612151736,0.334,0.169,1.1951791642865155e-23,1,Timm50,Marrow
5.2831468398296795e-28,0.3563243754154506,0.34,0.184,1.2331393038846454e-23,1,Rangap1,Marrow
5.283718553929724e-28,0.2557213334281254,0.403,0.225,1.2332727476727369e-23,1,Fnbp4,Marrow
