p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.875753875545071e-13,0.7540767186423638,0.593,0.254,1.1380497120909749e-8,1,Uba11
6.659153507333565e-13,0.29094509867435425,0.464,0.139,1.5543130201467274e-8,1,Chd81
8.01400843601287e-13,0.4491268100845307,0.836,0.5,1.870549709049764e-8,1,Eif4g21
8.607534347358462e-13,0.5793555790396647,0.6,0.257,2.0090845920169386e-8,1,Odc11
1.5053318992036768e-12,0.7732011819573126,0.371,0.102,3.513595185931302e-8,1,Ppp6r11
1.854250434613179e-12,0.8858479860258628,0.671,0.337,4.3280059394306215e-8,1,Gns1
2.0528932638740383e-12,0.6437110095193241,0.514,0.193,4.791658167208393e-8,1,Tm9sf31
3.563228725084652e-12,0.4601296186974677,0.707,0.31,8.316932167220086e-8,1,Ifi301
5.297010827871e-12,0.6275920947921922,0.621,0.286,1.23637529733337e-7,1,Nucks11
5.3378812969346094e-12,0.5922390056885307,0.786,0.439,1.245914873517507e-7,1,Vars1
5.421965649465023e-12,0.5347270134476512,0.714,0.345,1.2655410022416312e-7,1,Sesn11
5.6782069477205e-12,0.9259333307796362,0.486,0.195,1.3253502836674418e-7,1,Marcks1
6.054625447946616e-12,0.5165310170580861,0.629,0.286,1.4132101258052196e-7,1,Pbrm11
6.244311518102803e-12,0.30278033007890315,0.571,0.238,1.4574847514403752e-7,1,Dock101
6.939187910692586e-12,0.31824429155730893,0.307,0.067,1.6196758502347567e-7,1,1810008A18Rik1
7.174060418502527e-12,1.402097214375249,0.35,0.102,1.674497442282675e-7,1,Hdlbp1
7.382675479480334e-12,0.26124985987892346,0.414,0.131,1.7231902836655048e-7,1,Nsmaf1
8.088411184881564e-12,0.45544728360973297,0.536,0.209,1.8879160546632058e-7,1,Tnks21
1.0395977123406326e-11,1.168180764167118,0.264,0.051,2.4265250203742704e-7,1,Agps1
1.0840480350026485e-11,1.203216510795535,0.393,0.131,2.5302765184996817e-7,1,Csda1
1.1388392389420444e-11,0.5230013230873656,0.571,0.235,2.658164667614626e-7,1,Ubqln11
1.2263952345537739e-11,0.5692379237061891,0.443,0.142,2.8625291169719635e-7,1,Epsti11
1.3733731259786218e-11,0.4096088937035791,0.457,0.166,3.2055902133467013e-7,1,St6gal11
1.5079756500372376e-11,0.5016997344125516,0.464,0.155,3.519765964751916e-7,1,Rab301
1.718318164380639e-11,0.5105058870944053,0.693,0.35,4.0107264274808497e-7,1,Ccni1
2.1084555476657402e-11,0.319821213329023,0.693,0.334,4.921346093806604e-7,1,Syvn11
2.346042213750823e-11,0.41836860489268446,0.371,0.107,5.475897131115796e-7,1,Imp41
3.10333962947565e-11,0.7547400236089148,0.486,0.19,7.243505029159116e-7,1,Pa2g41
3.105680009340194e-11,0.7517815940948198,0.671,0.334,7.248967709800947e-7,1,Stt3b1
3.6453103926763686e-11,0.3280910401991557,0.607,0.259,8.508518987545912e-7,1,Eif3l1
3.7883793894338115e-11,0.4922777894800525,0.65,0.321,8.84245633287746e-7,1,Spnb21
4.1263253833453206e-11,0.401704637963622,0.4,0.131,9.631256077266312e-7,1,Nup2101
4.137039421081529e-11,0.37530944085410756,0.364,0.107,9.656263712746398e-7,1,Atp2a21
4.3548491940620616e-11,0.32175744127069095,0.621,0.299,1.0164653503860258e-6,1,Cdc42se21
4.555243865547591e-11,0.44098315662983056,0.443,0.158,1.0632394706574632e-6,1,P2rx41
5.349356817693321e-11,0.2864799492763037,0.557,0.243,1.248593374817798e-6,1,Atrx1
6.015637247034891e-11,0.4891625555910828,0.707,0.369,1.404109889830414e-6,1,Capza11
6.270008512252299e-11,0.6866399241325158,0.607,0.286,1.4634826868448092e-6,1,Sidt21
7.015717941197182e-11,0.468683840353715,0.393,0.126,1.6375387246548343e-6,1,Osgep1
7.159111403120324e-11,0.5463129207556863,0.5,0.201,1.6710081926023148e-6,1,Cap11
7.899867590719667e-11,0.7660931200583914,0.479,0.19,1.8439080943498773e-6,1,Eif4b1
7.963446099139155e-11,0.7678711843827069,0.436,0.15,1.8587479540000703e-6,1,Larp11
8.97694100457272e-11,0.3219868220376485,0.3,0.072,2.0953077998773187e-6,1,Nudt16l11
9.017673240598267e-11,0.7900193815545147,0.364,0.112,2.1048151110880415e-6,1,Ogfr1
1.0225991103347978e-10,1.3634625042401627,0.314,0.088,2.3868485834324517e-6,1,Prkacb1
1.0293411790391246e-10,0.3685162044594392,0.593,0.241,2.4025852459952208e-6,1,Taf91
1.040270414876564e-10,0.6554507598781258,0.543,0.238,2.428095175363388e-6,1,Myo1e1
1.0880916105351372e-10,1.233594762573989,0.421,0.168,2.539714628150064e-6,1,Ccnd21
1.1172187111417298e-10,0.5222293667128377,0.479,0.171,2.6077001936759113e-6,1,Gm159871
1.1594327437783884e-10,0.6568180627549935,0.6,0.275,2.7062319672531363e-6,1,Stat11
1.1871748972816644e-10,0.7865470639733854,0.436,0.155,2.770984927745133e-6,1,Myst21
1.3320328125013698e-10,0.6769193729112746,0.364,0.115,3.109097787659447e-6,1,Ddx271
1.4596236175338606e-10,0.5450104386898813,0.336,0.099,3.406907485685784e-6,1,Sfxn11
1.5791345305256502e-10,0.5503900872320466,0.393,0.131,3.6858579076999203e-6,1,Pip4k2a1
1.5936684745972864e-10,0.9631321952164043,0.507,0.23,3.7197815865575263e-6,1,Nckap1l1
1.645544152154096e-10,0.43354473780629466,0.771,0.412,3.8408646055428755e-6,1,Anp32b1
1.8131369847559e-10,0.7020297900310277,0.457,0.176,4.232043036118746e-6,1,Glyr11
1.821266244247826e-10,0.26707351512191835,0.679,0.348,4.251017540698851e-6,1,Glcci11
1.8850345098021901e-10,0.49160205514183986,0.6,0.291,4.399859049329292e-6,1,Pbxip11
2.1353001180559458e-10,0.514235660820102,0.7,0.377,4.984004005554383e-6,1,Vcp1
2.1703761898582105e-10,0.3215758563714064,0.521,0.219,5.065875064748049e-6,1,Il17ra1
2.3968842725255006e-10,0.8063570747706699,0.357,0.115,5.594567580501771e-6,1,Gpatch81
