MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:88329,Cd34,CD34 antigen,1,,external side of plasma membrane,,,ISO,P28906 ,J:164563 ,external side of plasma membrane
MGI:107899,Cd36,CD36 molecule,5,,external side of plasma membrane,,,IDA,,J:100140 ,external side of plasma membrane
MGI:107899,Cd36,CD36 molecule,5,,external side of plasma membrane,is a part of macrophage,,IDA,,J:96018 ,external side of plasma membrane
MGI:88336,Cd40,CD40 antigen,2,,external side of plasma membrane,is a part of myeloid dendritic cell,,IDA,,J:86264 ,external side of plasma membrane
MGI:88336,Cd40,CD40 antigen,2,,external side of plasma membrane,,,IDA,,J:91939 J:140121 J:143981 ,external side of plasma membrane
MGI:88336,Cd40,CD40 antigen,2,,external side of plasma membrane,is a part of B cell,,IDA,,J:30239 J:64603 ,external side of plasma membrane
MGI:88337,Cd40lg,CD40 ligand,X,,external side of plasma membrane,,,IDA,,J:140498 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,"is a part of lymph node,is a part of T cell",,IDA,,J:64279 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,,,IDA,,J:25159 J:35057 J:39748 J:60915 J:86758 J:89320 J:96628 J:98417 J:118947 J:140498 J:155686 J:163754 J:172134 J:174203 J:174697 J:177992 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,is a part of natural killer cell,,IDA,,J:88001 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,is a part of thymocyte,,IDA,,J:144049 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,is a part of myeloid lineage restricted progenitor cell,,IDA,,J:19636 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,is a part of T cell,,IDA,,J:92679 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell|is a part of CD8-positive, alpha-beta T cell",,IDA,,J:93953 J:113553 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,"is a part of liver,is a part of blood cell",,IDA,,J:63425 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell",,IDA,,J:118845 ,external side of plasma membrane
MGI:88338,Cd44,CD44 antigen,2,,external side of plasma membrane,is a part of T cell,,IDA,,J:53400 J:102496 J:152384 ,external side of plasma membrane
MGI:88339,Cd48,CD48 antigen,1,,external side of plasma membrane,is a part of stem cell,,IDA,,J:145577 ,external side of plasma membrane
MGI:88339,Cd48,CD48 antigen,1,,external side of plasma membrane,is a part of thymus|is a part of spleen,,IDA,,J:2873 ,external side of plasma membrane
MGI:88339,Cd48,CD48 antigen,1,,external side of plasma membrane,is a part of hematopoietic stem cell,,IDA,,J:163607 ,external side of plasma membrane
MGI:104850,Cd55,"CD55 molecule, decay accelerating factor for complement",1,,external side of plasma membrane,is a part of erythrocyte,,IDA,,J:145047 ,external side of plasma membrane
MGI:109177,Cd59a,CD59a antigen,2,,external side of plasma membrane,is a part of erythrocyte,,IDA,,J:145047 ,external side of plasma membrane
MGI:1888996,Cd59b,CD59b antigen,2,,anchored component of external side of plasma membrane,,,ISO,P13987 ,J:73065 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,,,IDA,,J:140498 J:141145 J:141227 J:141377 J:170688 J:172134 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell",,IDA,,J:112602 J:118845 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,is a part of neutrophil,,IDA,,J:149909 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,is a part of T cell,,IDA,,J:39981 J:91914 J:116616 J:152384 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,is a part of thymocyte,,IDA,,J:141431 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,"is a part of lymph node,is a part of T cell",,IDA,,J:27768 ,external side of plasma membrane
MGI:88343,Cd69,CD69 antigen,6,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell|is a part of CD8-positive, alpha-beta T cell",,IDA,,J:113553 ,external side of plasma membrane
MGI:96534,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)",18,,external side of plasma membrane,is a part of T cell,,IDA,,J:152384 ,external side of plasma membrane
MGI:96534,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)",18,,external side of plasma membrane,"is a part of blood,is a part of CD4-positive, alpha-beta T cell",,IDA,,J:92721 ,external side of plasma membrane
MGI:96534,Cd74,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)",18,,external side of plasma membrane,,,IDA,,J:4119 ,external side of plasma membrane
MGI:101774,Cd79a,CD79A antigen (immunoglobulin-associated alpha),7,,external side of plasma membrane,,,IDA,,J:94881 ,external side of plasma membrane
MGI:96431,Cd79b,CD79B antigen,11,,external side of plasma membrane,,,IDA,,J:94881 ,external side of plasma membrane
